nome,squadra1516,pg1516,mv1516,mf1516,gf1516,gs1516,rp1516,rc1516,rplus1516,rminus1516,ass1516,asf1516,amm1516,esp1516,au1516,squadra1617,pg1617,mv1617,mf1617,gf1617,gs1617,rp1617,rc1617,rplus1617,rminus1617,ass1617,asf1617,amm1617,esp1617,au1617,squadra1718,pg1718,mv1718,mf1718,gf1718,gs1718,rp1718,rc1718,rplus1718,rminus1718,ass1718,asf1718,amm1718,esp1718,au1718,squadra1819,pg1819,mv1819,mf1819,gf1819,gs1819,rp1819,rc1819,rplus1819,rminus1819,ass1819,asf1819,amm1819,esp1819,au1819
SPORTIELLO,Atalanta,36,6.19,5.22,0,43,3,0,0,0,0,0,2,0,0,Fiorentina,10,5.65,3.8,0,18,0,0,0,0,0,0,1,0,0,Fiorentina,37,6.08,5.11,0,38,1,0,0,0,0,0,0,1,0,Frosinone,35,6.11,4.21,0,64,0,0,0,0,0,0,5,0,0
CONTI,Atalanta,13,5.85,6.27,2,0,0,0,0,0,1,0,1,1,0,Atalanta,33,6.26,6.92,8,0,0,0,0,0,4,0,12,0,0,Milan,2,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,Milan,9,5.78,5.83,0,0,0,0,0,0,2,0,3,0,0
MASIELLO A,Atalanta,28,5.89,5.8,0,0,0,0,0,0,1,0,7,0,0,Atalanta,35,6.34,6.47,3,0,0,0,0,0,0,0,9,0,0,Atalanta,31,6.26,6.56,4,0,0,0,0,0,0,0,5,0,0,Atalanta,23,5.83,5.67,0,0,0,0,0,0,1,0,5,0,1
CIGARINI,Atalanta,24,6.12,6.25,1,0,0,1,1,0,1,1,10,0,0,Sampdoria,4,5.5,5.12,0,0,0,0,0,0,0,0,3,0,0,Cagliari,26,5.85,5.81,2,0,0,1,0,1,0,3,12,1,0,Cagliari,23,5.87,5.72,0,0,0,0,0,0,1,0,9,0,0
D'ALESSANDRO,Atalanta,19,6.24,6.74,3,0,0,0,0,0,2,0,3,0,0,Atalanta,16,6.12,6.31,1,0,0,0,0,0,1,0,2,0,0,Benevento,15,6.2,6.43,1,0,0,0,0,0,1,0,1,0,0,Udinese,20,5.95,5.92,0,0,0,0,0,0,1,0,3,0,0
GOMEZ A,Atalanta,34,6.4,7.16,7,0,0,0,0,0,6,2,4,1,0,Atalanta,37,6.74,8.23,14,0,0,2,2,0,8,2,6,0,0,Atalanta,33,6.32,7.02,4,0,0,3,2,1,7,2,2,0,0,Atalanta,35,6.21,7.03,7,0,0,0,0,0,9,1,5,0,0
KURTIC,Atalanta,31,5.87,5.95,2,0,0,0,0,0,0,0,5,1,0,Atalanta,37,5.99,6.43,6,0,0,0,0,0,2,0,7,0,0,SPAL,29,5.72,5.91,3,0,0,0,0,0,0,0,7,0,0,SPAL,30,6.13,6.75,6,0,0,0,0,0,3,2,9,0,0
TOLOI,Atalanta,24,5.83,5.71,1,0,0,0,0,0,0,0,6,1,1,Atalanta,31,5.97,5.85,0,0,0,0,0,0,0,0,7,0,0,Atalanta,30,6.15,6.22,1,0,0,0,0,0,3,0,6,1,0,Atalanta,21,6.07,6.19,1,0,0,0,0,0,3,0,1,1,1
DJIMSITI,Atalanta,3,5.33,5.17,0,0,0,0,0,0,0,0,1,0,0,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benevento,30,5.53,5.53,0,0,0,0,0,0,1,0,2,0,0,Atalanta,22,5.84,5.86,1,0,0,0,0,0,1,0,3,0,1
FREULER,Atalanta,6,5.83,6.33,1,0,0,0,0,0,0,0,0,0,0,Atalanta,32,6.08,6.59,5,0,0,0,0,0,3,1,5,0,0,Atalanta,35,6.17,6.57,5,0,0,0,0,0,2,0,4,1,0,Atalanta,35,6.16,6.33,2,0,0,0,0,0,2,0,4,0,0
